#id: 3616268379
#name: E.coli str. K-12 substr. MG1655 - Whole organism (Integrated)
#score: 19.7
#coverage: 99
#description: integrated dataset: weighted average of all E.coli str. K-12 substr. MG1655 WHOLE_ORGANISM: 19.7, Coverage: 99
#organ: WHOLE_ORGANISM
#integrated: true
#weights: Escherichia_coli_SC_biomart_29780_E_BTO0000214cellculture_2reps:0.174;ecoli2_resolutionCombination_PRIDE:0.174;ecoli1_HCD_CID_PRIDE:0.077;E_coli_Wisniewski_2014_cpc:0.071;Escherichia_coli_SC_biomart_18119_E__5reps:0.061;Ecoli_Krug_2013:0.054;Ecoli_emPAI_arike_2012:0.054;Ecoli_APEX_arike_2012:0.052;WT-lewis-peptide_count:0.05;Taniguchi_2010_Table_S6:0.048;511145_GPM_201408:0.04;Escherichia_coli_SC_biomart_17112_E__2reps:0.031;Ecoli_Krug_2013_emPAI:0.029;PXD020761_Midha_Sci_Data_2020_Ecoli_DIA-SWATH:0.026;Lu_ecoli_2007:0.02;Ecoli_strainK12_PRIDE:0.017;Ecoli_iBAQ_arike_2012:0.013;Escherichia_coli_SC_biomart_12189_E__2reps:0.01;
#publication_year: 2025
#filename: 511145-WHOLE_ORGANISM-integrated.txt
#
#gene_name	string_external_id	abundance
pyrH	511145.b0171	431
acnA	511145.b1276	431
acrA	511145.b0463	430
codA	511145.b0337	430
hisD	511145.b2020	430
pepP	511145.b2908	429
pliG	511145.b1178	429
btuE	511145.b1710	429
prlC	511145.b3498	429
yfgM	511145.b2513	428
potF	511145.b0854	428
glyQ	511145.b3560	428
fumA	511145.b1612	427
yeaG	511145.b1783	426
pepQ	511145.b3847	422
sdhD	511145.b0722	420
flu	511145.b2000	415
guaC	511145.b0104	412
rne	511145.b1084	411
purT	511145.b1849	409
ybgI	511145.b0710	409
pepN	511145.b0932	408
yfiF	511145.b2581	407
ydiH	511145.b1685	406
acuI	511145.b3253	406
artJ	511145.b0860	405
gyrB	511145.b3699	405
glcB	511145.b2976	404
ompW	511145.b1256	404
fepA	511145.b0584	404
glf	511145.b2036	402
tatA	511145.b3836	402
map	511145.b0168	398
gcvT	511145.b2905	396
msrB	511145.b1778	396
poxB	511145.b0871	395
bamC	511145.b2477	394
mtlD	511145.b3600	391
manZ	511145.b1819	389
yciG	511145.b1259	388
msrA	511145.b4219	384
yqiA	511145.b3031	381
yfcZ	511145.b2343	380
lpxA	511145.b0181	380
manA	511145.b1613	379
frdB	511145.b4153	379
yajG	511145.b0434	377
rodZ	511145.b2516	376
cbpA	511145.b1000	376
malM	511145.b4037	375
ydgA	511145.b1614	374
yhbS	511145.b3156	373
secA	511145.b0098	372
gnsA	511145.b4517	372
yggL	511145.b2959	369
pheA	511145.b2599	368
hflK	511145.b4174	368
fbp	511145.b4232	367
degQ	511145.b3234	363
ybjQ	511145.b0866	363
ugpB	511145.b3453	361
tyrA	511145.b2600	361
ykgM	511145.b0296	360
mioC	511145.b3742	359
sdaC	511145.b2796	359
ribC	511145.b1662	358
ydcY	511145.b1446	356
tolC	511145.b3035	356
tdcF	511145.b3113	356
yiaF	511145.b3554	356
dsbA	511145.b3860	356
ytfQ	511145.b4227	356
hisC	511145.b2021	355
sthA	511145.b3962	353
yjbR	511145.b4057	353
ppiD	511145.b0441	352
apt	511145.b0469	350
gloA	511145.b1651	350
selD	511145.b1764	349
mscS	511145.b2924	348
speB	511145.b2937	348
exbB	511145.b3006	348
manY	511145.b1818	347
hpt	511145.b0125	345
gcvP	511145.b2903	342
maeA	511145.b1479	342
cysI	511145.b2763	342
yghU	511145.b2989	341
ychF	511145.b1203	339
dcyD	511145.b1919	337
gadC	511145.b1492	335
tabA	511145.b4252	335
cysQ	511145.b4214	335
yciF	511145.b1258	332
purU	511145.b1232	332
pdxH	511145.b1638	332
nuoC	511145.b2286	331
yhfG	511145.b3362	329
glnB	511145.b2553	328
cyoA	511145.b0432	328
ilvB	511145.b3671	327
frdA	511145.b4154	325
metF	511145.b3941	325
glgA	511145.b3429	323
erpA	511145.b0156	323
tyrB	511145.b4054	323
dut	511145.b3640	322
zraP	511145.b4002	322
pepA	511145.b4260	321
cheA	511145.b1888	320
dcrB	511145.b3472	320
dhaK	511145.b1200	318
rfbA	511145.b2039	318
gpr	511145.b3001	317
argD	511145.b3359	316
glgC	511145.b3430	315
ybeZ	511145.b0660	314
trpD	511145.b1263	314
yibL	511145.b3602	313
yeaD	511145.b1780	313
kbl	511145.b3617	311
pntA	511145.b1603	309
ftsY	511145.b3464	309
dacC	511145.b0839	308
cysS	511145.b0526	308
ydbC	511145.b1406	307
speA	511145.b2938	306
hslO	511145.b3401	305
ansB	511145.b2957	304
yciO	511145.b1267	304
cheW	511145.b1887	302
yihI	511145.b3866	302
pssA	511145.b2585	301
obgE	511145.b3183	301
lepA	511145.b2569	301
gldA	511145.b3945	300
psd	511145.b4160	300
rbsD	511145.b3748	300
mtn	511145.b0159	300
hldE	511145.b3052	300
ldhA	511145.b1380	300
menB	511145.b2262	299
gabD	511145.b2661	299
ysgA	511145.b3830	298
hflC	511145.b4175	298
lolA	511145.b0891	297
yhhA	511145.b3448	295
ibpA	511145.b3687	295
bamA	511145.b0177	295
exbD	511145.b3005	294
nuoG	511145.b2283	294
clpA	511145.b0882	291
ybiC	511145.b0801	291
purR	511145.b1658	289
xseB	511145.b0422	289
ppiC	511145.b3775	289
wzzB	511145.b2027	288
def	511145.b3287	288
mprA	511145.b2684	288
dapB	511145.b0031	287
flgM	511145.b1071	286
uxaC	511145.b3092	285
yqhD	511145.b3011	285
nagB	511145.b0678	285
ybfA	511145.b0699	284
galE	511145.b0759	281
ptsN	511145.b3204	280
entE	511145.b0594	280
ybiB	511145.b0800	279
pepT	511145.b1127	279
nuoB	511145.b2287	278
proC	511145.b0386	278
trpR	511145.b4393	277
kdgR	511145.b1827	277
ytfJ	511145.b4216	275
yagU	511145.b0287	274
bolA	511145.b0435	273
cysJ	511145.b2764	273
rsd	511145.b3995	273
tsr	511145.b4355	273
suhB	511145.b2533	273
ubiE	511145.b3833	272
yicC	511145.b3644	271
yecA	511145.b1908	271
glnQ	511145.b0809	270
yajD	511145.b0410	270
ybgF	511145.b0742	270
pyrD	511145.b0945	269
metC	511145.b3008	269
dacA	511145.b0632	268
dld	511145.b2133	268
yggS	511145.b2951	267
yciE	511145.b1257	267
pmbA	511145.b4235	266
nrdB	511145.b2235	265
dcp	511145.b1538	265
bglA	511145.b2901	265
trpC	511145.b1262	264
yaeP	511145.b4406	264
bamB	511145.b2512	263
yqfB	511145.b2900	263
yebF	511145.b1847	262
ilvE	511145.b3770	261
ybjP	511145.b0865	260
hspQ	511145.b0966	260
fkpB	511145.b0028	260
yeeN	511145.b1983	259
ykgO	511145.b4506	259
sdhC	511145.b0721	257
dsbC	511145.b2893	257
thyA	511145.b2827	256
proA	511145.b0243	256
ycdY	511145.b1035	256
thrB	511145.b0003	256
galK	511145.b0757	255
xthA	511145.b1749	254
hdeD	511145.b3511	253
treA	511145.b1197	253
yibT	511145.b4554	252
yfgD	511145.b2495	252
pdxB	511145.b2320	250
ffh	511145.b2610	249
yidB	511145.b3698	248
hisB	511145.b2022	247
mscL	511145.b3291	247
ispG	511145.b2515	247
cmk	511145.b0910	247
ydhF	511145.b1647	245
glcG	511145.b2977	245
ymdF	511145.b4518	245
trpE	511145.b1264	245
